LA,RoadNumber,RoadClass
Offaly County Council,L-80031,Local Tertiary
Offaly County Council,L-80032,Local Tertiary
Offaly County Council,L-80033,Local Tertiary
Offaly County Council,L-8004,Local Secondary
Offaly County Council,L-80041,Local Tertiary
Offaly County Council,L-8005,Local Secondary
Offaly County Council,L-8006,Local Secondary
Offaly County Council,L-80061,Local Tertiary
Offaly County Council,L-80062,Local Tertiary
Offaly County Council,L-80063,Local Tertiary
Offaly County Council,L-80064,Local Tertiary
Offaly County Council,L-80065,Local Tertiary
Offaly County Council,L-8007,Local Secondary
Offaly County Council,L-80071,Local Tertiary
Offaly County Council,L-8008,Local Secondary
Offaly County Council,L-80081,Local Tertiary
Offaly County Council,L-80082,Local Tertiary
Offaly County Council,L-8009,Local Secondary
Offaly County Council,L-80091,Local Tertiary
Offaly County Council,L-80092,Local Tertiary
Offaly County Council,L-80093,Local Tertiary
Offaly County Council,L-80094,Local Tertiary
Offaly County Council,L-80095,Local Tertiary
Offaly County Council,L-8010,Local Secondary
Offaly County Council,L-80101,Local Tertiary
Offaly County Council,L-80102,Local Tertiary
Offaly County Council,L-8011,Local Secondary
Offaly County Council,L-80111,Local Tertiary
Offaly County Council,L-8012,Local Secondary
Offaly County Council,L-8013,Local Secondary
Offaly County Council,L-8014,Local Secondary
Offaly County Council,L-80141,Local Tertiary
Offaly County Council,L-8015,Local Secondary
Offaly County Council,L-8016,Local Secondary
Offaly County Council,L-8017,Local Secondary
Offaly County Council,L-8018,Local Secondary
Offaly County Council,L-8019,Local Secondary
Offaly County Council,L-8020,Local Secondary
Offaly County Council,L-8021,Local Secondary
Offaly County Council,L-80211,Local Tertiary
Offaly County Council,L-8022,Local Secondary
Offaly County Council,L-80221,Local Tertiary
Offaly County Council,L-8023,Local Secondary
Offaly County Council,L-80231,Local Tertiary
Offaly County Council,L-80232,Local Tertiary
Offaly County Council,L-80233,Local Tertiary
Offaly County Council,L-8024,Local Secondary
Offaly County Council,L-80241,Local Tertiary
Offaly County Council,L-80242,Local Tertiary
Offaly County Council,L-80243,Local Tertiary
Offaly County Council,L-80244,Local Tertiary
Offaly County Council,L-80245,Local Tertiary
Offaly County Council,L-80246,Local Tertiary
Offaly County Council,L-80247,Local Tertiary
Offaly County Council,L-8025,Local Secondary
Offaly County Council,L-80251,Local Tertiary
Offaly County Council,L-80252,Local Tertiary
Offaly County Council,L-8026,Local Secondary
Offaly County Council,L-8027,Local Secondary
Offaly County Council,L-8028,Local Secondary
Offaly County Council,L-80281,Local Tertiary
Offaly County Council,L-80282,Local Tertiary
Offaly County Council,L-80283,Local Tertiary
Offaly County Council,L-8029,Local Secondary
Offaly County Council,L-8030,Local Secondary
Offaly County Council,L-80301,Local Tertiary
Offaly County Council,L-80302,Local Tertiary
Offaly County Council,L-80303,Local Tertiary
Offaly County Council,L-8031,Local Secondary
Offaly County Council,L-8032,Local Secondary
Offaly County Council,L-8034,Local Secondary
Offaly County Council,L-80341,Local Tertiary
Offaly County Council,L-80342,Local Tertiary
Offaly County Council,L-8035,Local Secondary
Offaly County Council,L-80351,Local Tertiary
Offaly County Council,L-80352,Local Tertiary
Offaly County Council,L-8036,Local Secondary
Offaly County Council,L-8037,Local Secondary
Offaly County Council,L-8038,Local Secondary
Offaly County Council,L-8039,Local Secondary
Offaly County Council,L-8040,Local Secondary
Offaly County Council,L-8041,Local Secondary
Offaly County Council,L-8042,Local Secondary
Offaly County Council,L-80421,Local Tertiary
Offaly County Council,L-80422,Local Tertiary
Offaly County Council,L-8043,Local Secondary
Offaly County Council,L-8044,Local Secondary
Offaly County Council,L-8045,Local Secondary
Offaly County Council,L-8046,Local Secondary
Offaly County Council,L-8047,Local Secondary
Offaly County Council,L-90010,Local Tertiary
Offaly County Council,L-90011,Local Tertiary
Offaly County Council,L-90012,Local Tertiary
Offaly County Council,L-90013,Local Tertiary
Offaly County Council,L-90014,Local Tertiary
Offaly County Council,L-90015,Local Tertiary
Offaly County Council,L-90016,Local Tertiary
Offaly County Council,L-90017,Local Tertiary
Offaly County Council,L-90018,Local Tertiary
Offaly County Council,L-90019,Local Tertiary
Offaly County Council,L-90020,Local Tertiary
Offaly County Council,L-90021,Local Tertiary
Offaly County Council,L-90022,Local Tertiary
Offaly County Council,L-90023,Local Tertiary
Offaly County Council,L-90024,Local Tertiary
Offaly County Council,L-90025,Local Tertiary
Offaly County Council,L-90027,Local Tertiary
Offaly County Council,L-90028,Local Tertiary
Offaly County Council,L-90029,Local Tertiary
Offaly County Council,L-90030,Local Tertiary
Offaly County Council,L-90357,Local Tertiary
Roscommon County Council,L-1001,Local Primary
Roscommon County Council,L-10011,Local Tertiary
Roscommon County Council,L-10012,Local Tertiary
Roscommon County Council,L-10013,Local Tertiary
Roscommon County Council,L-10014,Local Tertiary
Roscommon County Council,L-10015,Local Tertiary
Roscommon County Council,L-10016,Local Tertiary
Roscommon County Council,L-10017,Local Tertiary
Roscommon County Council,L-10018,Local Tertiary
Roscommon County Council,L-10019,Local Tertiary
Roscommon County Council,L-1002,Local Primary
Roscommon County Council,L-10021,Local Tertiary
Roscommon County Council,L-1003,Local Primary
Roscommon County Council,L-10031,Local Tertiary
Roscommon County Council,L-10032,Local Tertiary
Roscommon County Council,L-10033,Local Tertiary
Roscommon County Council,L-10034,Local Tertiary
Roscommon County Council,L-10035,Local Tertiary
Roscommon County Council,L-10036,Local Tertiary
Roscommon County Council,L-10037,Local Tertiary
Roscommon County Council,L-10038,Local Tertiary
Roscommon County Council,L-1004,Local Primary
Roscommon County Council,L-10041,Local Tertiary
Roscommon County Council,L-10042,Local Tertiary
Roscommon County Council,L-10043,Local Tertiary
Roscommon County Council,L-10044,Local Tertiary
Roscommon County Council,L-10045,Local Tertiary
Roscommon County Council,L-10046,Local Tertiary
Roscommon County Council,L-10047,Local Tertiary
Roscommon County Council,L-10048,Local Tertiary
Roscommon County Council,L-10049,Local Tertiary
Roscommon County Council,L-1005,Local Primary
Roscommon County Council,L-10051,Local Tertiary
Roscommon County Council,L-10052,Local Tertiary
Roscommon County Council,L-10053,Local Tertiary
Roscommon County Council,L-10054,Local Tertiary
Roscommon County Council,L-10055,Local Tertiary
Roscommon County Council,L-10056,Local Tertiary
Roscommon County Council,L-10057,Local Tertiary
Roscommon County Council,L-10058,Local Tertiary
Roscommon County Council,L-1006,Local Primary
Roscommon County Council,L-10061,Local Tertiary
Roscommon County Council,L-10062,Local Tertiary
Roscommon County Council,L-1007,Local Primary
Roscommon County Council,L-1008,Local Primary
Roscommon County Council,L-10081,Local Tertiary
Roscommon County Council,L-10082,Local Tertiary
Roscommon County Council,L-10083,Local Tertiary
Roscommon County Council,L-10084,Local Tertiary
Roscommon County Council,L-10085,Local Tertiary
Roscommon County Council,L-10086,Local Tertiary
Roscommon County Council,L-10087,Local Tertiary
Roscommon County Council,L-10088,Local Tertiary
Roscommon County Council,L-10089,Local Tertiary
Roscommon County Council,L-1012,Local Primary
Roscommon County Council,L-10121,Local Tertiary
Roscommon County Council,L-10122,Local Tertiary
Roscommon County Council,L-10123,Local Tertiary
Roscommon County Council,L-10124,Local Tertiary
Roscommon County Council,L-10125,Local Tertiary
Roscommon County Council,L-10126,Local Tertiary
Roscommon County Council,L-10127,Local Tertiary
Roscommon County Council,L-10128,Local Tertiary
Roscommon County Council,L-10129,Local Tertiary
Roscommon County Council,L-1013,Local Primary
Roscommon County Council,L-10131,Local Tertiary
Roscommon County Council,L-10132,Local Tertiary
Roscommon County Council,L-10133,Local Tertiary
Roscommon County Council,L-10134,Local Tertiary
Roscommon County Council,L-10135,Local Tertiary
Roscommon County Council,L-10136,Local Tertiary
Roscommon County Council,L-10137,Local Tertiary
Roscommon County Council,L-10138,Local Tertiary
Roscommon County Council,L-10139,Local Tertiary
Roscommon County Council,L-1014,Local Primary
Roscommon County Council,L-10141,Local Tertiary
Roscommon County Council,L-1015,Local Primary
Roscommon County Council,L-10151,Local Tertiary
Roscommon County Council,L-10152,Local Tertiary
Roscommon County Council,L-10153,Local Tertiary
Roscommon County Council,L-10154,Local Tertiary
Roscommon County Council,L-10155,Local Tertiary
Roscommon County Council,L-10156,Local Tertiary
Roscommon County Council,L-10157,Local Tertiary
Roscommon County Council,L-10158,Local Tertiary
Roscommon County Council,L-10159,Local Tertiary
Roscommon County Council,L-1016,Local Primary
Roscommon County Council,L-10161,Local Tertiary
Roscommon County Council,L-10162,Local Tertiary
Roscommon County Council,L-10163,Local Tertiary
Roscommon County Council,L-10164,Local Tertiary
Roscommon County Council,L-10165,Local Tertiary
Roscommon County Council,L-10166,Local Tertiary
Roscommon County Council,L-10167,Local Tertiary
Roscommon County Council,L-10168,Local Tertiary
Roscommon County Council,L-10169,Local Tertiary
Roscommon County Council,L-1017,Local Primary
Roscommon County Council,L-10171,Local Tertiary
Roscommon County Council,L-10173,Local Tertiary
Roscommon County Council,L-10174,Local Tertiary
Roscommon County Council,L-10175,Local Tertiary
Roscommon County Council,L-10176,Local Tertiary
Roscommon County Council,L-10177,Local Tertiary
Roscommon County Council,L-10178,Local Tertiary
Roscommon County Council,L-1018,Local Primary
Roscommon County Council,L-10181,Local Tertiary
Roscommon County Council,L-10182,Local Tertiary
Roscommon County Council,L-10183,Local Tertiary
Roscommon County Council,L-10184,Local Tertiary
Roscommon County Council,L-10185,Local Tertiary
Roscommon County Council,L-10186,Local Tertiary
Roscommon County Council,L-10187,Local Tertiary
Roscommon County Council,L-10188,Local Tertiary
Roscommon County Council,L-1019,Local Primary
Roscommon County Council,L-10191,Local Tertiary
Roscommon County Council,L-10192,Local Tertiary
Roscommon County Council,L-10193,Local Tertiary
Roscommon County Council,L-10195,Local Tertiary
Roscommon County Council,L-1020,Local Primary
Roscommon County Council,L-10201,Local Tertiary
Roscommon County Council,L-10202,Local Tertiary
Roscommon County Council,L-10203,Local Tertiary
Roscommon County Council,L-10204,Local Tertiary
Roscommon County Council,L-10205,Local Tertiary
Roscommon County Council,L-10206,Local Tertiary
Roscommon County Council,L-10207,Local Tertiary
Roscommon County Council,L-10208,Local Tertiary
Roscommon County Council,L-1021,Local Primary
Roscommon County Council,L-10211,Local Tertiary
Roscommon County Council,L-10212,Local Tertiary
Roscommon County Council,L-10213,Local Tertiary
Roscommon County Council,L-10214,Local Tertiary
Roscommon County Council,L-10215,Local Tertiary
Roscommon County Council,L-1022,Local Primary
Roscommon County Council,L-1023,Local Primary
Roscommon County Council,L-10231,Local Tertiary
Roscommon County Council,L-10232,Local Tertiary
Roscommon County Council,L-10233,Local Tertiary
Roscommon County Council,L-10234,Local Tertiary
Roscommon County Council,L-10235,Local Tertiary
Roscommon County Council,L-10236,Local Tertiary
Roscommon County Council,L-10237,Local Tertiary
Roscommon County Council,L-10238,Local Tertiary
Roscommon County Council,L-10239,Local Tertiary
Roscommon County Council,L-1024,Local Primary
Roscommon County Council,L-10241,Local Tertiary
Roscommon County Council,L-1025,Local Primary
Roscommon County Council,L-10251,Local Tertiary
Roscommon County Council,L-10252,Local Tertiary
Roscommon County Council,L-10253,Local Tertiary
Roscommon County Council,L-1026,Local Primary
Roscommon County Council,L-10261,Local Tertiary
Roscommon County Council,L-10262,Local Tertiary
Roscommon County Council,L-10263,Local Tertiary
Roscommon County Council,L-10264,Local Tertiary
Roscommon County Council,L-10265,Local Tertiary
Roscommon County Council,L-10266,Local Tertiary
Roscommon County Council,L-10267,Local Tertiary
Roscommon County Council,L-10268,Local Tertiary
Roscommon County Council,L-10269,Local Tertiary
Roscommon County Council,L-1027,Local Primary
Roscommon County Council,L-1028,Local Primary
Roscommon County Council,L-10281,Local Tertiary
Roscommon County Council,L-10282,Local Tertiary
Roscommon County Council,L-10283,Local Tertiary
Roscommon County Council,L-10284,Local Tertiary
Roscommon County Council,L-10286,Local Tertiary
Roscommon County Council,L-10287,Local Tertiary
Roscommon County Council,L-10288,Local Tertiary
Roscommon County Council,L-10289,Local Tertiary
Roscommon County Council,L-1029,Local Primary
Roscommon County Council,L-10291,Local Tertiary
Roscommon County Council,L-10292,Local Tertiary
Roscommon County Council,L-10293,Local Tertiary
Roscommon County Council,L-10294,Local Tertiary
Roscommon County Council,L-10295,Local Tertiary
Roscommon County Council,L-10296,Local Tertiary
Roscommon County Council,L-1030,Local Primary
Roscommon County Council,L-10301,Local Tertiary
Roscommon County Council,L-10302,Local Tertiary
Roscommon County Council,L-10303,Local Tertiary
Roscommon County Council,L-10304,Local Tertiary
